date,Casos positivos,Activos,media_7,ia14,ia_ratio
2021-02-16,6,,5.0,206.1301308478222,0.4758620689655173
2021-02-17,1,,4.0,200.15534444643603,0.5359999999999999
2021-02-18,0,,3.0,179.24359204158452,0.5504587155963303
2021-02-19,1,,3.0,155.3444464360399,0.5977011494252873
2021-02-20,1,,2.0,146.38226683396067,0.5764705882352941
2021-02-21,0,,2.0,146.38226683396067,0.5903614457831324
2021-02-22,1,,1.0,134.4326940311884,0.6338028169014085
2021-02-23,3,,1.0,125.47051442910914,0.608695652173913
2021-02-24,0,,1.0,101.57136882356457,0.5074626865671642
2021-02-25,0,,1.0,86.63440282009918,0.4833333333333334
2021-02-26,0,,1.0,68.71004361594072,0.4423076923076923
2021-02-27,0,,1.0,59.7478640138615,0.40816326530612246
2021-02-28,0,,1.0,59.7478640138615,0.40816326530612246
2021-03-01,2,,1.0,44.81089801039613,0.33333333333333326
2021-03-02,0,,0.0,26.88653880623768,0.2142857142857143
2021-03-03,3,,1.0,32.86132520762383,0.32352941176470584
2021-03-04,0,,1.0,32.86132520762383,0.3793103448275862
2021-03-05,0,,1.0,29.87393200693075,0.4347826086956522
2021-03-06,0,,1.0,26.88653880623768,0.45000000000000007
2021-03-07,0,,1.0,26.88653880623768,0.45000000000000007
2021-03-08,0,,0.0,23.8991456055446,0.5333333333333333
2021-03-09,0,,0.0,14.936966003465376,0.5555555555555555
2021-03-10,2,,0.0,20.911752404851526,0.6363636363636364
2021-03-11,0,,0.0,20.911752404851526,0.6363636363636364
2021-03-12,4,,1.0,32.86132520762383,1.1
2021-03-13,1,,1.0,35.8487184083169,1.333333333333333
2021-03-14,0,,1.0,35.8487184083169,1.333333333333333
2021-03-15,1,,1.0,32.86132520762383,1.3750000000000002
2021-03-16,1,,1.0,35.8487184083169,2.4
2021-03-17,7,,2.0,47.7982912110892,2.2857142857142856
2021-03-18,6,,3.0,65.72265041524766,3.142857142857143
2021-03-19,1,,2.0,68.71004361594072,2.0909090909090904
2021-03-20,1,,2.0,71.6974368166338,2.0
2021-03-21,0,,2.0,71.6974368166338,2.0
2021-03-22,0,,2.0,71.6974368166338,2.1818181818181817
2021-03-23,0,,2.0,71.6974368166338,2.0
2021-03-24,0,,1.0,65.72265041524766,1.3750000000000002
2021-03-25,2,,1.0,71.6974368166338,1.0909090909090908
2021-03-26,1,,1.0,62.73525721455457,0.9130434782608696
2021-03-27,1,,1.0,62.73525721455457,0.875
2021-03-28,3,,1.0,71.6974368166338,1.0
2021-03-29,0,,1.0,68.71004361594072,0.9583333333333333
2021-03-30,0,,1.0,65.72265041524766,0.9166666666666669
2021-03-31,1,,1.0,47.7982912110892,0.7272727272727272
2021-04-01,5,,2.0,44.81089801039613,0.6250000000000001
2021-04-02,1,,2.0,44.81089801039613,0.7142857142857144
2021-04-03,4,,2.0,53.77307761247536,0.8571428571428573
2021-04-04,2,,2.0,59.7478640138615,0.8333333333333334
2021-04-05,0,,2.0,59.7478640138615,0.8695652173913044
2021-04-06,0,,2.0,59.7478640138615,0.9090909090909091
2021-04-07,2,,2.0,65.72265041524766,1.3750000000000002
2021-04-08,2,,2.0,65.72265041524766,1.4666666666666666
2021-04-09,3,,2.0,71.6974368166338,1.5999999999999996
2021-04-10,0,,1.0,68.71004361594072,1.2777777777777775
2021-04-11,4,,2.0,71.6974368166338,1.2
2021-04-12,2,,2.0,77.67222321801995,1.3
2021-04-13,4,,2.0,89.62179602079226,1.5000000000000002
2021-04-14,12,,4.0,122.48312122841608,1.8636363636363635
2021-04-15,7,,5.0,128.45790762980224,1.9545454545454546
2021-04-16,6,,5.0,143.3948736332676,2.0
2021-04-17,2,,5.0,137.42008723188144,2.0
2021-04-18,11,,6.0,164.30662603811913,2.291666666666667
2021-04-19,9,,7.0,191.1931648443568,2.4615384615384617
2021-04-20,10,,8.0,221.06709685128754,2.4666666666666663
2021-04-21,10,,8.0,244.96624245683216,2.0
2021-04-22,28,,11.0,322.6384656748521,2.511627906976744
2021-04-23,2,,10.0,319.65107247415904,2.229166666666667
2021-04-24,6,,11.0,337.5754316783175,2.456521739130435
2021-04-25,4,,10.0,337.5754316783175,2.0545454545454547
2021-04-26,7,,10.0,352.5123976817829,1.8437500000000002
2021-04-27,4,,9.0,352.5123976817829,1.5945945945945947
2021-04-28,10,,9.0,346.53761128039673,1.4146341463414636
2021-04-29,6,,6.0,343.55021807970365,1.0648148148148149
2021-04-30,7,,6.0,346.53761128039673,1.0841121495327104
2021-05-01,4,,6.0,352.5123976817829,1.0442477876106195
2021-05-02,1,,6.0,322.6384656748521,0.9557522123893805
2021-05-03,8,,6.0,319.65107247415904,0.9067796610169491
2021-05-04,5,,6.0,304.71410647069365,0.8644067796610169
2021-05-05,1,,5.0,277.827567664456,0.8017241379310345
2021-05-06,2,,4.0,200.15534444643603,0.5826086956521739
2021-05-07,1,,3.0,197.16795124574298,0.5689655172413793
2021-05-08,2,,3.0,185.21837844297065,0.5254237288135593
2021-05-09,1,,3.0,176.25619884089144,0.5462962962962963
2021-05-10,4,,2.0,167.2940192388122,0.5233644859813085
2021-05-11,3,,2.0,164.30662603811913,0.5392156862745099
2021-05-12,4,,2.0,146.38226683396067,0.5268817204301074
2021-05-13,3,,3.0,137.42008723188144,0.6865671641791044
2021-05-14,2,,3.0,122.48312122841608,0.6212121212121211
2021-05-15,0,,2.0,110.53354842564377,0.5967741935483871
2021-05-16,2,,3.0,113.52094162633685,0.6440677966101694
2021-05-17,2,,2.0,95.5965824221784,0.5714285714285714
2021-05-18,0,,2.0,80.65961641871303,0.49090909090909096
2021-05-19,1,,1.0,80.65961641871303,0.5510204081632654
2021-05-20,2,,1.0,80.65961641871303,0.5869565217391305
2021-05-21,8,,2.0,101.57136882356457,0.8292682926829269
2021-05-22,2,,2.0,101.57136882356457,0.9189189189189191
2021-05-23,1,,2.0,101.57136882356457,0.8947368421052633
2021-05-24,10,,3.0,119.495728027723,1.25
2021-05-25,3,,4.0,119.495728027723,1.4814814814814814
2021-05-26,2,,4.0,113.52094162633685,1.4074074074074074
2021-05-27,2,,4.0,110.53354842564377,1.3703703703703702
2021-05-28,0,,3.0,104.55876202425765,1.0294117647058825
2021-05-29,0,,3.0,104.55876202425765,1.0294117647058825
2021-05-30,1,,3.0,101.57136882356457,1.0
2021-05-31,3,,2.0,104.55876202425765,0.8750000000000001
